OGF_ID,FIRE_DISTURBANCE_AREA_IDENT,FIRE_TYPE_CODE,FIRE_YEAR,FIRE_GENERAL_CAUSE_CODE,FIRE_RESPONSE_OBJ_CODE,FIRE_START_DATE,FIRE_OUT_DATE,FIRE_FINAL_SIZE,LOCATION_ACCURACY,BUSINESS_EFFECTIVE_DATE,GENERAL_COMMENTS,GEOMETRY_UPDATE_DATETIME,EFFECTIVE_DATETIME,SYSTEM_DATETIME,OBJECTID,SHAPEAREA,SHAPELEN
72858910,RED103,IFR,2011,LTG,FUL,2011/07/16 00:00:00+00,2011/08/01 00:00:00+00,61,Within 100 metres,2012/02/21 00:00:00+00,,,2012/02/21 15:32:33+00,2012/02/21 23:34:37+00,2048,0,0
72858914,RED50,IFR,2011,LTG,MON,2011/07/04 00:00:00+00,2011/08/30 00:00:00+00,2780,Within 100 metres,2012/02/21 00:00:00+00,,,2012/02/21 15:31:23+00,2012/02/21 23:34:37+00,2049,0,0
72858921,RED52,IFR,2011,LTG,MON,2011/07/04 00:00:00+00,2011/08/28 00:00:00+00,1561,Within 100 metres,2012/02/21 00:00:00+00,,,2012/02/21 15:31:54+00,2012/02/21 23:34:37+00,2050,0,0
72858929,SLK60,IFR,2011,LTG,FUL,2011/06/05 00:00:00+00,2011/07/30 00:00:00+00,19001,Within 100 metres,2012/02/21 00:00:00+00,,,2012/02/21 15:31:44+00,2012/02/21 23:34:37+00,2051,0,0
72858935,RED72,IFR,2011,LTG,MON,2011/07/04 00:00:00+00,2011/08/30 00:00:00+00,1729,Within 100 metres,2012/02/21 00:00:00+00,,,2012/02/21 15:31:45+00,2012/02/21 23:34:37+00,2052,0,0
72858942,SLK95,IFR,2011,LTG,FUL,2011/07/18 00:00:00+00,2011/08/03 00:00:00+00,150,Within 100 metres,2012/02/21 00:00:00+00,,,2012/02/21 15:31:05+00,2012/02/21 23:34:37+00,2053,0,0
72858947,RED85,IFR,2011,LTG,MOD,2011/07/04 00:00:00+00,2011/11/16 00:00:00+00,31563,Within 100 metres,2012/02/21 00:00:00+00,,,2012/02/21 15:31:29+00,2012/02/21 23:34:37+00,2054,0,0
72858960,SLK61,IFR,2011,LTG,FUL,2011/07/04 00:00:00+00,2011/09/03 00:00:00+00,4611,Within 100 metres,2012/02/21 00:00:00+00,,,2012/02/21 15:31:46+00,2012/02/21 23:34:37+00,2055,0,0
72858969,SLK64,IFR,2011,LTG,FUL,2011/07/04 00:00:00+00,2011/10/20 00:00:00+00,21244,Within 100 metres,2012/02/21 00:00:00+00,,,2012/02/21 15:32:15+00,2012/02/21 23:34:37+00,2056,0,0
72858984,SLK35,IFR,2011,LTG,MOD,2011/06/06 00:00:00+00,2011/11/29 00:00:00+00,112000,Within 100 metres,2012/02/21 00:00:00+00,,,2012/02/21 15:31:21+00,2012/02/21 23:34:37+00,2057,0,0
