x,y,LATITUDE,LONGITUDE,STATION_NAME,CLIMATE_IDENTIFIER,ID,LOCAL_DATE,LAST_UPDATED,PROVINCE_CODE,ENG_PROVINCE_NAME,FRE_PROVINCE_NAME,LOCAL_YEAR,LOCAL_MONTH,NORMAL_MEAN_TEMPERATURE,MEAN_TEMPERATURE,DAYS_WITH_VALID_MEAN_TEMP,MIN_TEMPERATURE,DAYS_WITH_VALID_MIN_TEMP,MAX_TEMPERATURE,DAYS_WITH_VALID_MAX_TEMP,NORMAL_PRECIPITATION,TOTAL_PRECIPITATION,DAYS_WITH_VALID_PRECIP,DAYS_WITH_PRECIP_GE_1MM,NORMAL_SNOWFALL,TOTAL_SNOWFALL,DAYS_WITH_VALID_SNOWFALL,SNOW_ON_GROUND_LAST_DAY,NORMAL_SUNSHINE,BRIGHT_SUNSHINE,DAYS_WITH_VALID_SUNSHINE,COOLING_DEGREE_DAYS,HEATING_DEGREE_DAYS
-77.71666666666667,45.31666666666667,45.317,-77.717,PURDY,6106779,4356.1981.10,1981-10,2014-07-31 11:51:35,ON,ONTARIO,ONTARIO,1981,10,,,0,,0,,0,,73.4,31,12,,4.4,31,,,,,,
-77.71666666666667,45.31666666666667,45.317,-77.717,PURDY,6106779,4356.1981.11,1981-11,2014-07-31 11:51:35,ON,ONTARIO,ONTARIO,1981,11,,,0,,0,,0,,40.2,30,7,,11.2,30,,,,,,
-77.71666666666667,45.31666666666667,45.317,-77.717,PURDY,6106779,4356.1981.12,1981-12,2014-07-31 11:51:35,ON,ONTARIO,ONTARIO,1981,12,,,0,,0,,0,,62,31,12,,56.6,31,,,,,,
-77.71666666666667,45.31666666666667,45.317,-77.717,PURDY,6106779,4356.1982.1,1982-01,2014-07-31 11:51:35,ON,ONTARIO,ONTARIO,1982,1,,,0,,0,,0,,60.4,31,12,,55.2,31,,,,,,
-77.71666666666667,45.31666666666667,45.317,-77.717,PURDY,6106779,4356.1982.2,1982-02,2014-07-31 11:51:35,ON,ONTARIO,ONTARIO,1982,2,,,0,,0,,0,,33,28,6,,33,28,69,,,,,
-77.71666666666667,45.31666666666667,45.317,-77.717,PURDY,6106779,4356.1982.3,1982-03,2014-07-31 11:51:35,ON,ONTARIO,ONTARIO,1982,3,,,0,,0,,0,,64.8,31,11,,59.6,31,,,,,,
-77.71666666666667,45.31666666666667,45.317,-77.717,PURDY,6106779,4356.1982.4,1982-04,2014-07-31 11:51:35,ON,ONTARIO,ONTARIO,1982,4,,,0,,0,,0,,50.4,30,8,,2,30,,,,,,
-77.71666666666667,45.31666666666667,45.317,-77.717,PURDY,6106779,4356.1982.5,1982-05,2014-07-31 11:51:35,ON,ONTARIO,ONTARIO,1982,5,,,0,,0,,0,,81.6,31,10,,0,31,,,,,,
-77.71666666666667,45.31666666666667,45.317,-77.717,PURDY,6106779,4356.1982.6,1982-06,2014-07-31 11:51:35,ON,ONTARIO,ONTARIO,1982,6,,,0,,0,,0,,106,30,11,,0,30,,,,,,
-77.71666666666667,45.31666666666667,45.317,-77.717,PURDY,6106779,4356.1982.7,1982-07,2014-07-31 11:51:35,ON,ONTARIO,ONTARIO,1982,7,,,0,,0,,0,,64.6,31,6,,0,31,,,,,,
-77.71666666666667,45.31666666666667,45.317,-77.717,PURDY,6106779,4356.1982.8,1982-08,2014-07-31 11:51:35,ON,ONTARIO,ONTARIO,1982,8,,,0,,0,,0,,57.6,31,8,,0,31,,,,,,
-77.71666666666667,45.31666666666667,45.317,-77.717,PURDY,6106779,4356.1982.9,1982-09,2014-07-31 11:51:35,ON,ONTARIO,ONTARIO,1982,9,,,0,,0,,0,,98.2,30,12,,0,30,,,,,,
-77.71666666666667,45.31666666666667,45.317,-77.717,PURDY,6106779,4356.1982.10,1982-10,2014-07-31 11:51:35,ON,ONTARIO,ONTARIO,1982,10,,,0,,0,,0,,49.2,31,7,,0,31,,,,,,
-77.71666666666667,45.31666666666667,45.317,-77.717,PURDY,6106779,4356.1982.11,1982-11,2014-07-31 11:51:35,ON,ONTARIO,ONTARIO,1982,11,,,0,,0,,0,,127,30,17,,26,30,,,,,,
-77.71666666666667,45.31666666666667,45.317,-77.717,PURDY,6106779,4356.1982.12,1982-12,2014-07-31 11:51:35,ON,ONTARIO,ONTARIO,1982,12,,,0,,0,,0,,89.4,31,17,,16.4,31,,,,,,
-77.71666666666667,45.31666666666667,45.317,-77.717,PURDY,6106779,4356.1983.1,1983-01,2014-07-31 11:51:35,ON,ONTARIO,ONTARIO,1983,1,,,0,,0,,0,,47.8,31,11,,35,31,,,,,,
-77.71666666666667,45.31666666666667,45.317,-77.717,PURDY,6106779,4356.1983.2,1983-02,2014-07-31 11:51:35,ON,ONTARIO,ONTARIO,1983,2,,,0,,0,,0,,55.6,28,5,,17.2,28,19,,,,,
-77.71666666666667,45.31666666666667,45.317,-77.717,PURDY,6106779,4356.1983.3,1983-03,2014-07-31 11:51:35,ON,ONTARIO,ONTARIO,1983,3,,,0,,0,,0,,53.4,31,9,,14,31,,,,,,
-77.71666666666667,45.31666666666667,45.317,-77.717,PURDY,6106779,4356.1983.4,1983-04,2014-07-31 11:51:35,ON,ONTARIO,ONTARIO,1983,4,,,0,,0,,0,,81.6,30,12,,21,30,0,,,,,
-77.71666666666667,45.31666666666667,45.317,-77.717,PURDY,6106779,4356.1983.5,1983-05,2014-07-31 11:51:35,ON,ONTARIO,ONTARIO,1983,5,,,0,,0,,0,,215.6,31,12,,0,31,0,,,,,
-77.71666666666667,45.31666666666667,45.317,-77.717,PURDY,6106779,4356.1983.6,1983-06,2014-07-31 11:51:35,ON,ONTARIO,ONTARIO,1983,6,,,0,,0,,0,,32.4,30,6,,0,30,0,,,,,
-77.71666666666667,45.31666666666667,45.317,-77.717,PURDY,6106779,4356.1983.7,1983-07,2014-07-31 11:51:35,ON,ONTARIO,ONTARIO,1983,7,,,0,,0,,0,,56.8,31,8,,0,31,0,,,,,
-77.71666666666667,45.31666666666667,45.317,-77.717,PURDY,6106779,4356.1983.8,1983-08,2014-07-31 11:51:35,ON,ONTARIO,ONTARIO,1983,8,,,0,,0,,0,,126.2,31,12,,0,31,0,,,,,
-77.71666666666667,45.31666666666667,45.317,-77.717,PURDY,6106779,4356.1983.9,1983-09,2014-07-31 11:51:35,ON,ONTARIO,ONTARIO,1983,9,,,0,,0,,0,,73,30,8,,0,30,0,,,,,
-77.71666666666667,45.31666666666667,45.317,-77.717,PURDY,6106779,4356.1983.10,1983-10,2014-07-31 11:51:35,ON,ONTARIO,ONTARIO,1983,10,,,0,,0,,0,,102.4,31,13,,0,31,0,,,,,
-77.71666666666667,45.31666666666667,45.317,-77.717,PURDY,6106779,4356.1983.11,1983-11,2014-07-31 11:51:35,ON,ONTARIO,ONTARIO,1983,11,,,0,,0,,0,,84,30,10,,50.2,30,,,,,,
